Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
Malpaso,20021007,2,,,,,H_cracherodii,C,100,50,17.5,6,
Malpaso,20021007,2,,,,,H_cracherodii,C,30,5,17.8,7,
Malpaso,20021007,2,,,,,H_cracherodii,C,50,30,26.2,8,
Malpaso,20021007,2,,,,,H_cracherodii,C,10,5,10,8,
Malpaso,20021007,2,,,,,H_cracherodii,C,10,3,9.9,9,
Malpaso,20021007,2,,,,,H_cracherodii,C,100,50,17.5,11,
Malpaso,20021007,2,,,,,H_cracherodii,SD,,,3.5,8,
Malpaso,20021007,2,,,,,H_cracherodii,SD,,,3.5,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,60,10,0.7,3,
Malpaso,20021007,3,,,,,H_cracherodii,C,60,10,0.7,3,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,4,
Malpaso,20021007,3,,,,,H_cracherodii,C,60,10,0.7,4,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,5,
Malpaso,20021007,3,,,,,H_cracherodii,C,20,10,2.9,5,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,6,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,15,2.8,7,
Malpaso,20021007,3,,,,,H_cracherodii,C,10,5,24.3,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,20,10,1.9,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,20,10,1.9,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,135,70,25.5,8,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,9,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,9,
Malpaso,20021007,3,,,,,H_cracherodii,C,20,10,1.9,9,
Malpaso,20021007,3,,,,,H_cracherodii,C,30,10,22,10,
Malpaso,20021007,3,,,,,H_cracherodii,C,60,10,0.7,13,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,22.3,8,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,22.6,8,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,23,9,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,22.3,9,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,22.6,9,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,24.6,10,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,24,12,
Malpaso,20021007,3,,,,,H_cracherodii,SD,,,22.3,12,
Malpaso,20021007,4,,,,,H_cracherodii,C,25,10,14.9,1,
Malpaso,20021007,4,,,,,H_cracherodii,C,20,10,14.7,4,
Malpaso,20021007,4,,,,,H_cracherodii,C,20,10,19,5,
Malpaso,20021007,4,,,,,H_cracherodii,C,20,10,18.9,5,
Malpaso,20021007,4,,,,,H_cracherodii,C,15,5,22.4,5,
Malpaso,20021007,4,,,,,H_cracherodii,C,15,10,18.9,7,
Malpaso,20021007,4,,,,,H_cracherodii,C,20,10,19,9,
Malpaso,20021007,4,,,,,H_cracherodii,C,20,10,19,9,
Malpaso,20021007,4,,,,,H_cracherodii,C,25,10,14.9,9,
Malpaso,20021007,4,,,,,H_cracherodii,C,15,5,22.4,9,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,15.2,6,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,21.5,7,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,19.5,8,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,15.2,9,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,19.9,9,
Malpaso,20021007,4,,,,,H_cracherodii,SD,,,15.2,11.5,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,4,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,4,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,5,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,5,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,5,
Malpaso,20021007,6,,,,,H_cracherodii,C,15,10,4.7,6,
Malpaso,20021007,6,,,,,H_cracherodii,C,15,10,29.6,6,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,7,
Malpaso,20021007,6,,,,,H_cracherodii,C,20,10,12.1,8,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,35,9,8,
Malpaso,20021007,6,,,,,H_cracherodii,C,30,5,1,9,
Malpaso,20021007,6,,,,,H_cracherodii,SD,5,10,6.7,5,
Malpaso,20021007,6,,,,,H_cracherodii,SD,5,10,6.7,5,
Malpaso,20021007,6,,,,,H_cracherodii,SD,10,10,7.9,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,10,5,13.8,3,
Malpaso,20021007,7,,,,,H_cracherodii,C,5,4,24.7,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,40,10,11.9,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,3,13,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,10,5,12.8,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,10,5,12.8,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,10,5,13.8,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,15,14.1,4,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,3,13,5,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,15,14.1,5,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,10,23.4,6,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,10,23.4,6,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,10,23.4,6,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,3,13,6,
Malpaso,20021007,7,,,,,H_cracherodii,C,28,26,11.4,7,
Malpaso,20021007,7,,,,,H_cracherodii,C,33,8,9.5,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,5,24.6,8,
